Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-08-07,147.508,147.944,147.126,147.652,85595500,0,0
2013-08-08,147.506,147.836,146.958,147.504,83944080,0,0
2013-08-09,147.386,147.686,146.728,147.22,84072280,0,0
2013-08-12,147.02,147.4,146.386,146.944,86976400,0,0
2013-08-13,146.854,147.254,146.222,146.922,85638600,0,0
2013-08-14,146.912,147.318,146.248,146.846,84633500,0,0
2013-08-15,146.466,146.84,145.756,146.252,94783600,0,0
2013-08-16,145.854,146.238,145.198,145.648,102605700,0,0
2013-08-19,145.366,145.7,144.57,144.894,108174560,0,0
2013-08-20,144.608,145.058,143.954,144.196,109872240,0,0
2013-08-21,143.844,144.404,143.172,143.47,125812500,0,0
2013-08-22,143.41,144.208,142.964,143.414,115520420,0,0
2013-08-23,143.496,144.242,143.01,143.552,107524560,0,0
2013-08-26,143.696,144.432,143.208,143.766,106177460,0,0
2013-08-27,143.578,144.398,142.922,143.374,120042460,0,0
2013-08-28,143.254,144.13,142.724,143.262,109758960,0,0
2013-08-29,143.02,143.912,142.466,142.934,113304780,0,0
2013-08-30,142.666,143.514,142.016,142.418,122112780,0,0
2013-09-03,142.394,143.216,141.636,142.138,132647380,0,0
2013-09-04,142.406,143.222,141.796,142.558,120401380,0,0
2013-09-05,142.856,143.554,142.262,142.914,111396880,0,0
2013-09-06,143.368,143.89,142.448,143.24,119508080,0,0
2013-09-09,143.704,144.444,143.016,143.93,110034160,0,0
2013-09-10,144.296,145.02,143.806,144.708,102728580,0,0
2013-09-11,145.026,145.604,144.538,145.342,102159880,0,0
2013-09-12,145.632,146.152,145.056,145.86,106183580,0,0
2013-09-13,146.088,146.582,145.796,146.43,88777840,0,0
2013-09-16,146.906,147.192,146.418,146.896,92525820,0,0
2013-09-17,147.222,147.574,146.8,147.278,87861040,0,0
2013-09-18,147.634,148.288,147.186,147.91,109643980,0,0
2013-09-19,148.358,148.988,147.858,148.57,122325560,0,0
2013-09-20,149.058,149.632,148.32,148.956,134353420,0.1676,0
2013-09-23,149.086,149.672,148.352,149.034,134016880,0.1676,0
2013-09-24,149.132,149.716,148.278,148.91,138778840,0.1676,0
2013-09-25,149.036,149.246,148.128,148.358,121548020,0.1676,0
2013-09-26,148.452,148.796,147.656,147.97,107654020,0.1676,0
2013-09-27,147.844,148.24,147.288,147.654,100908960,0,0
2013-09-30,147.318,147.874,146.896,147.318,108773060,0,0
2013-10-01,147.012,147.694,146.68,147.284,112938440,0,0
2013-10-02,146.788,147.582,146.496,147.308,112147140,0,0
2013-10-03,146.694,147.366,146.11,146.946,132057360,0,0
2013-10-04,146.504,147.352,145.948,146.942,131604600,0,0
2013-10-07,146.494,147.336,145.966,146.842,122076200,0,0
2013-10-08,146.364,147.008,145.51,146.17,132247200,0,0
